id,text,emotions
27383,i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,sadness
110083,im alone i feel awful,sadness
140764,ive probably mentioned this before but i really do feel proud of myself for actually keeping up with my new years resolution of monthly and weekly goals,joy
100071,i was feeling a little low few days back,sadness
2837,i beleive that i am much more sensitive to other peoples feelings and tend to be more compassionate,love
18231,i find myself frustrated with christians because i feel that there is constantly a talk about loving one another being there for each other and praying for each other and i have seen that this is not always the case,love
10714,i am one of those people who feels like going to the gym is only worthwhile if you can be there for an hour or more,joy
35177,i feel especially pleased about this as this has been a long time coming,joy
122177,i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand,joy
26723,i feel so enraged but helpless at the same time,anger
41979,i said feeling a bit rebellious,anger
2046,i also feel disillusioned that someone who claimed to value the truth as i do was a fraud,sadness
98659,i mean is on this stupid trip of making the great album when things are going well i feel ecstatic,joy
50434,i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse,anger
9280,i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan,anger
92846,i know its just doing its job and doesnt actually have thoughts or feelings but that little jingle it does at the end of every cycle just makes it seem so excited to have done another load that it cant help but sing about it,joy
106363,i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w,sadness
23395,i feel weird knowing mine died when i wasn t around,fear
31583,i feel assured that there is no such thing as ultimate forgetting traces once impressed upon the memory are indestructible,joy
8271,i feel blessed everyday for our little man and love to watch him grow,love
32503,i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well,sadness
91430,i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye,sadness
9813,i don t like to feel uncomfortable with being alone and being quiet,fear
102982,i was left kinda feeling stupid and insecure,sadness
489,i alternate between feeling sympathetic toward humanity and being a misanthrope,love
33737,i have a pretty bad feeling the last two books will be rushed in terms of story,anger
107365,i sincerely believe that every client celebrity or not deserves my full attention and leaves feeling more glamorous than when they arrived,joy
24211,i don t feel comfortable around you,joy
6990,i am happy that you don t feel as burdened and consumed as i do,sadness
9036,i am still here i am not dead yet but these things can not be said without feeling humiliated,sadness
84022,i have been continually surprised at how much less i need to eat to feel truly satisfied if im eating good food and sitting down for a whole lovely little experience at each meal satisfying the soul as well as the stomach,joy
10350,i pretty much waddled out of the hospital feeling weird lightheaded but ok,surprise
5023,i apologize to him almost every day for my lack of faith and i ask him to give me more because i feel uncertain about my future here in kiev,fear
11640,i am still searching for direction but at least now i feel slightly more assured more hopeful,joy
11239,i am so angry that i feel like i have to go through life not being as carefree as i want to be,joy
14000,i feel passionate about today because of him,love
8165,i am only having day a week where i am feeling depressed or seriously anxious,sadness
79,article published,joy
33835,i see things so clearly and with so much depth peace that it makes me feel unsure,fear
55011,i feel myself relax a little he wouldn t be this friendly if he was going to tear me off a strip but my mind is working overtime trying to work out what he does want,joy
13151,i feel doubtful about my place in the world of technology and the applicable value of the work i do i often find it helpful to think about doug engelbart listening to him describe in one of many interviews his goals the genesis of his goals and his dogged perseverance toward meeting his plan,fear
113523,im feeling rotten i dont post much new material that doesnt mean you shouldnt be reading when youre feeling rotten,sadness
83005,i have a feeling that theyre probably not going to be thrilled with me,joy
119356,ive been feeling pretty shitty and been in a pretty shitty mood the past few days,sadness
1629,i cant even imagine how my mom and her three younger sisters must feel i think the weird thing about death is that from an early age we associate it with something evil and tragic,surprise
37068,i feel glad i am on the side of the law and the only journey about to start was our weekend sojourn to the city of pines,joy
41686,i will most likely feel overwhelmed and exhausted again,fear
15073,i can feel myself reaching out extending through time and space to touch my beloved,joy
55053,im looking right now so desperately looking for a creative project that i feel like i have had a hand in that i need to sit and write my fucking mother fucker of a fuckity fuckers fucked play before i feel satisfied doing anything else,anger
10992,i am really hoping to get to target soon and i am so glad im feeling more positive this week,joy
26081,i dont know if i feel appreciative of all the talent out there or depressed that i suck at this so much,joy
38000,i feel he will be ok with out it,joy
93645,i tend to stop breathing when i m feeling stressed,sadness
26138,i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man,anger
67265,i feel that i have nothing smart or interesting to write about these days,joy
8233,i feel blessed and grateful today,love
