model_name,model_url,model_task,model_category
AIDA-UPM/MSTSb_paraphrase-multilingual-MiniLM-L12-v2,https://huggingface.co/AIDA-UPM/MSTSb_paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,natural-language-processing
AJ/rick-sanchez-bot,https://huggingface.co/AJ/rick-sanchez-bot,conversational,natural-language-processing
AetherIT/DialoGPT-small-Hal,https://huggingface.co/AetherIT/DialoGPT-small-Hal,conversational,natural-language-processing
AkshaySg/langid,https://huggingface.co/AkshaySg/langid,audio-classification,audio
AriakimTaiyo/DialoGPT-medium-Kumiko,https://huggingface.co/AriakimTaiyo/DialoGPT-medium-Kumiko,conversational,natural-language-processing
Augustvember/WokkaBot3,https://huggingface.co/Augustvember/WokkaBot3,conversational,natural-language-processing
Augustvember/wokka4,https://huggingface.co/Augustvember/wokka4,conversational,natural-language-processing
ChristianOrr/madnet_keras,https://huggingface.co/ChristianOrr/madnet_keras,depth-estimation,computer-vision
Cloudy/DialoGPT-CJ-large,https://huggingface.co/Cloudy/DialoGPT-CJ-large,conversational,natural-language-processing
ClydeWasTaken/DialoGPT-small-joshua,https://huggingface.co/ClydeWasTaken/DialoGPT-small-joshua,conversational,natural-language-processing
Coyotl/DialoGPT-test-last-arthurmorgan,https://huggingface.co/Coyotl/DialoGPT-test-last-arthurmorgan,conversational,natural-language-processing
Coyotl/DialoGPT-test3-arthurmorgan,https://huggingface.co/Coyotl/DialoGPT-test3-arthurmorgan,conversational,natural-language-processing
Craig/mGqFiPhu,https://huggingface.co/Craig/mGqFiPhu,feature-extraction,multimodal
CurtisBowser/DialoGPT-medium-sora-two,https://huggingface.co/CurtisBowser/DialoGPT-medium-sora-two,conversational,natural-language-processing
DJSammy/bert-base-danish-uncased_BotXO-ai,https://huggingface.co/DJSammy/bert-base-danish-uncased_BotXO-ai,fill-mask,natural-language-processing
DataikuNLP/average_word_embeddings_glove.6B.300d,https://huggingface.co/DataikuNLP/average_word_embeddings_glove.6B.300d,sentence-similarity,natural-language-processing
Daymarebait/Discord_BOT_RICK,https://huggingface.co/Daymarebait/Discord_BOT_RICK,conversational,natural-language-processing
DewiBrynJones/wav2vec2-large-xlsr-welsh,https://huggingface.co/DewiBrynJones/wav2vec2-large-xlsr-welsh,automatic-speech-recognition,audio
DrishtiSharma/wav2vec2-large-xls-r-300m-as-with-LM-v2,https://huggingface.co/DrishtiSharma/wav2vec2-large-xls-r-300m-as-with-LM-v2,automatic-speech-recognition,audio
Fhrozen/test_an4,https://huggingface.co/Fhrozen/test_an4,automatic-speech-recognition,audio
Gastron/lp-initial-aed-short,https://huggingface.co/Gastron/lp-initial-aed-short,automatic-speech-recognition,audio
Gianpe/en_textcat_emotion_umberto,https://huggingface.co/Gianpe/en_textcat_emotion_umberto,text-classification,natural-language-processing
Gianpe/en_textcat_emotion_xlm,https://huggingface.co/Gianpe/en_textcat_emotion_xlm,text-classification,natural-language-processing
Gianpe/it_textcat_emotion_umberto,https://huggingface.co/Gianpe/it_textcat_emotion_umberto,text-classification,natural-language-processing
GunnarThor/talromur_f_tacotron2,https://huggingface.co/GunnarThor/talromur_f_tacotron2,text-to-speech,audio
Heldhy/DialoGPT-small-tony,https://huggingface.co/Heldhy/DialoGPT-small-tony,conversational,natural-language-processing
Hellisotherpeople/debate2vec,https://huggingface.co/Hellisotherpeople/debate2vec,text-classification,natural-language-processing
Huertas97/en_roberta_base_leetspeak_ner,https://huggingface.co/Huertas97/en_roberta_base_leetspeak_ner,token-classification,natural-language-processing
Huertas97/es_roberta_base_bne_leetspeak_ner,https://huggingface.co/Huertas97/es_roberta_base_bne_leetspeak_ner,token-classification,natural-language-processing
Invincible/DialoGPT-medium-harryPotter,https://huggingface.co/Invincible/DialoGPT-medium-harryPotter,conversational,natural-language-processing
Istiaque190515/Sherlock,https://huggingface.co/Istiaque190515/Sherlock,conversational,natural-language-processing
Jacobo/grc_ud_perseus_dioberto,https://huggingface.co/Jacobo/grc_ud_perseus_dioberto,token-classification,natural-language-processing
Jacobo/grc_ud_perseus_lg,https://huggingface.co/Jacobo/grc_ud_perseus_lg,token-classification,natural-language-processing
Jacobo/grc_ud_perseus_lge,https://huggingface.co/Jacobo/grc_ud_perseus_lge,token-classification,natural-language-processing
Jacobo/grc_ud_perseus_trf,https://huggingface.co/Jacobo/grc_ud_perseus_trf,token-classification,natural-language-processing
Jacobo/grc_ud_proiel_dioberto,https://huggingface.co/Jacobo/grc_ud_proiel_dioberto,token-classification,natural-language-processing
Jacobo/grc_ud_proiel_lg,https://huggingface.co/Jacobo/grc_ud_proiel_lg,token-classification,natural-language-processing
JorisCos/ConvTasNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri2Mix_sepclean_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepclean_16k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri2Mix_sepclean_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepclean_8k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri2Mix_sepnoisy_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepnoisy_16k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri2Mix_sepnoisy_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepnoisy_8k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri3Mix_sepclean_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepclean_16k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri3Mix_sepclean_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepclean_8k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,audio-to-audio,audio
JorisCos/ConvTasNet_Libri3Mix_sepnoisy_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepnoisy_8k,audio-to-audio,audio
JorisCos/DCCRNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DCCRNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio
JorisCos/DCUNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DCUNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio
JorisCos/DPRNNTasNet-ks2_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DPRNNTasNet-ks2_Libri1Mix_enhsingle_16k,audio-to-audio,audio
JorisCos/DPTNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DPTNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio
KBLab/swedish-spacy-pipeline,https://huggingface.co/KBLab/swedish-spacy-pipeline,token-classification,natural-language-processing
KingCodeSquid/Octavian,https://huggingface.co/KingCodeSquid/Octavian,conversational,natural-language-processing
KingCodeSquid/Octavian2,https://huggingface.co/KingCodeSquid/Octavian2,conversational,natural-language-processing
Konggate/DialoGPT-small-harrypotter,https://huggingface.co/Konggate/DialoGPT-small-harrypotter,conversational,natural-language-processing
