model_name,model_url,model_task,model_category,readme_path
AIDA-UPM/MSTSb_paraphrase-multilingual-MiniLM-L12-v2,https://huggingface.co/AIDA-UPM/MSTSb_paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,natural-language-processing,./model_cards/_noArch/AIDA-UPM_MSTSb_paraphrase-multilingual-MiniLM-L12-v2_README.md
AJ/rick-sanchez-bot,https://huggingface.co/AJ/rick-sanchez-bot,conversational,natural-language-processing,./model_cards/_noArch/AJ_rick-sanchez-bot_README.md
AetherIT/DialoGPT-small-Hal,https://huggingface.co/AetherIT/DialoGPT-small-Hal,conversational,natural-language-processing,./model_cards/_noArch/AetherIT_DialoGPT-small-Hal_README.md
AkshaySg/langid,https://huggingface.co/AkshaySg/langid,audio-classification,audio,./model_cards/_noArch/AkshaySg_langid_README.md
AriakimTaiyo/DialoGPT-medium-Kumiko,https://huggingface.co/AriakimTaiyo/DialoGPT-medium-Kumiko,conversational,natural-language-processing,./model_cards/_noArch/AriakimTaiyo_DialoGPT-medium-Kumiko_README.md
Augustvember/WokkaBot3,https://huggingface.co/Augustvember/WokkaBot3,conversational,natural-language-processing,./model_cards/_noArch/Augustvember_WokkaBot3_README.md
Augustvember/wokka4,https://huggingface.co/Augustvember/wokka4,conversational,natural-language-processing,./model_cards/_noArch/Augustvember_wokka4_README.md
ChristianOrr/madnet_keras,https://huggingface.co/ChristianOrr/madnet_keras,depth-estimation,computer-vision,./model_cards/_noArch/ChristianOrr_madnet_keras_README.md
Cloudy/DialoGPT-CJ-large,https://huggingface.co/Cloudy/DialoGPT-CJ-large,conversational,natural-language-processing,./model_cards/_noArch/Cloudy_DialoGPT-CJ-large_README.md
ClydeWasTaken/DialoGPT-small-joshua,https://huggingface.co/ClydeWasTaken/DialoGPT-small-joshua,conversational,natural-language-processing,./model_cards/_noArch/ClydeWasTaken_DialoGPT-small-joshua_README.md
Coyotl/DialoGPT-test-last-arthurmorgan,https://huggingface.co/Coyotl/DialoGPT-test-last-arthurmorgan,conversational,natural-language-processing,./model_cards/_noArch/Coyotl_DialoGPT-test-last-arthurmorgan_README.md
Coyotl/DialoGPT-test3-arthurmorgan,https://huggingface.co/Coyotl/DialoGPT-test3-arthurmorgan,conversational,natural-language-processing,./model_cards/_noArch/Coyotl_DialoGPT-test3-arthurmorgan_README.md
Craig/mGqFiPhu,https://huggingface.co/Craig/mGqFiPhu,feature-extraction,multimodal,./model_cards/_noArch/Craig_mGqFiPhu_README.md
